Cluster,tenure,MonthlyCharges,TotalCharges,R_Score,F_Score,M_Score,RFM_Total
2,1,29.85,29.85,0.5,2,29.85,0.9735906432748538
0,34,56.95,1889.5,0.02857142857142857,3,56.95,0.841483709273183
2,2,53.85,108.15,0.3333333333333333,3,53.85,1.120140350877193
0,45,42.3,1840.75,0.021739130434782608,4,42.3,0.8223941011950164
2,2,70.7,151.65,0.3333333333333333,2,70.7,1.1509239766081873
1,8,99.65,820.5,0.1111111111111111,6,99.65,1.6169356725146198
0,22,89.1,1949.4,0.043478260869565216,5,89.1,1.349349605898805
0,10,29.75,301.9,0.09090909090909091,2,29.75,0.5636576289207869
1,28,104.8,3046.05,0.034482758620689655,7,104.8,1.6947868521879412
0,62,56.15,3487.95,0.015873015873015872,3,56.15,0.822048454469507
0,13,49.95,587.45,0.07142857142857142,2,49.95,0.7142823725981621
3,16,18.95,326.8,0.058823529411764705,8,18.95,1.1072913656690746
1,58,100.35,5681.1,0.01694915254237288,6,100.35,1.5286684507879866
1,49,103.7,5036.3,0.02,7,103.7,1.6710409356725147
1,25,105.5,2686.05,0.038461538461538464,7,105.5,1.7046603688708952
1,69,113.25,7895.15,0.014285714285714285,9,113.25,1.9679699248120301
3,52,20.65,1022.95,0.018867924528301886,8,20.65,1.081651550259296
1,71,106.7,7382.25,0.013888888888888888,7,106.7,1.6901929824561404
0,10,55.2,528.35,0.09090909090909091,3,55.2,0.8890845295055821
0,21,90.05,1862.9,0.045454545454545456,5,90.05,1.359325890483785
2,1,39.65,39.65,0.5,3,39.65,1.1672280701754385
3,12,19.8,202.25,0.07692307692307693,8,19.8,1.1325488079172288
2,1,20.15,20.15,0.5,8,20.15,1.5585730994152045
0,58,59.9,3505.1,0.01694915254237288,4,59.9,0.9658146496183961
0,49,59.6,2970.3,0.02,4,59.6,0.9663391812865497
0,30,55.3,1530.6,0.03225806451612903,3,55.3,0.8312756083757782
1,47,99.35,4749.15,0.020833333333333332,6,99.35,1.5241315789473684
2,1,30.2,30.2,0.5,2,30.2,0.9765380116959064
1,72,90.25,6369.45,0.0136986301369863,8,90.25,1.6625875190258752
0,17,64.7,1093.1,0.05555555555555555,3,64.7,0.9337309941520467
1,71,96.35,6766.95,0.013888888888888888,7,96.35,1.6030350877192983
2,2,95.5,181.65,0.3333333333333333,5,95.5,1.6930994152046783
0,27,66.15,1874.45,0.03571428571428571,5,66.15,1.1483224728487889
2,1,20.2,20.2,0.5,8,20.2,1.5589941520467836
2,1,45.25,45.25,0.5,1,45.25,0.9921637426900585
1,72,99.9,7251.7,0.0136986301369863,7,99.9,1.632739565809501
0,5,69.7,316.9,0.16666666666666666,2,69.7,0.9758362573099415
0,46,74.8,3548.3,0.02127659574468085,3,74.8,0.9845046659201194
1,34,106.35,3549.25,0.02857142857142857,7,106.35,1.7019281537176274
1,11,97.85,1105.4,0.08333333333333333,6,97.85,1.5739999999999998
0,10,49.55,475.7,0.09090909090909091,2,49.55,0.7303944710260499
1,70,69.2,4872.35,0.014084507042253521,5,69.2,1.1523769047030723
3,17,20.75,418.25,0.05555555555555555,8,20.75,1.1191812865497075
1,63,79.85,4861.45,0.015625,7,79.85,1.4658238304093567
0,13,76.2,981.45,0.07142857142857142,6,76.2,1.3797794486215538
1,49,84.5,3906.7,0.02,4,84.5,1.1760233918128655
2,2,49.25,97.0,0.3333333333333333,2,49.25,0.9702923976608188
2,2,80.65,144.15,0.3333333333333333,3,80.65,1.345824561403509
1,52,79.75,4217.8,0.018867924528301886,6,79.75,1.3571135385633895
1,69,64.15,4254.1,0.014285714285714285,5,64.15,1.1100517961570593
1,43,90.25,3838.75,0.022727272727272728,5,90.25,1.3382828282828283
1,15,99.1,1426.4,0.0625,6,99.1,1.5636929824561403
0,25,69.5,1752.65,0.038461538461538464,5,69.5,1.1792802519118308
0,8,80.65,633.3,0.1111111111111111,4,80.65,1.2347134502923978
1,60,74.85,4456.35,0.01639344262295082,6,74.85,1.3133758987633017
0,18,95.45,1752.55,0.05263157894736842,5,95.45,1.4119766081871346
1,63,99.65,6311.2,0.015625,6,99.65,1.5214495614035086
1,66,108.45,7076.35,0.014925373134328358,8,108.45,1.817077419917954
3,34,24.95,894.3,0.02857142857142857,9,24.95,1.2386766917293233
1,72,107.5,7853.7,0.0136986301369863,7,107.5,1.696739565809501
1,47,100.5,4707.1,0.020833333333333332,6,100.5,1.5338157894736844
1,60,89.9,5450.7,0.01639344262295082,5,89.9,1.3290016297574538
0,72,42.1,2962.0,0.0136986301369863,4,42.1,0.8126693903709044
0,18,54.4,957.1,0.05263157894736842,3,54.4,0.8440701754385964
0,9,94.4,857.25,0.1,5,94.4,1.4505029239766083
2,3,75.3,244.1,0.25,5,75.3,1.4396608187134503
0,47,78.9,3650.35,0.020833333333333332,4,78.9,1.1296988304093567
1,31,79.2,2497.2,0.03125,6,79.2,1.3648640350877193
3,50,20.15,930.9,0.0196078431372549,8,20.15,1.0781809425524596
0,10,79.85,887.35,0.09090909090909091,4,79.85,1.2077745879851143
2,1,49.05,49.05,0.5,2,49.05,1.1352748538011697
