Feature,SHAP_Importance
PaymentMethod,0.0565760887703502
MonthlyCharges,0.056576088770350155
RFM_Total,0.0552407368032619
tenure_WOE,0.055240736803261865
InternetService,0.027195930376955686
MultipleLines,0.027195930376955668
R_Score,0.025488064831200287
TotalCharges,0.025488064831200283
OnlineBackup,0.020880024303890788
OnlineSecurity,0.020880024303890757
PhoneService,0.015671505501579735
tenure,0.015671505501579718
Contract,0.013510400597198484
PaperlessBilling,0.013510400597198482
F_Score,0.013151141626444866
M_Score,0.013151141626444863
gender,0.010607991978828961
SeniorCitizen,0.01060799197882896
DeviceProtection,0.004503467285191395
TechSupport,0.004503467285191394
Dependents,0.0024913404509140733
Partner,0.002491340450914073
StreamingMovies,0.0021732289807229813
StreamingTV,0.0021732289807229804
TotalCharges_WOE,0.0018919426600529417
MonthlyCharges_WOE,0.0018919426600529409
